raceId,year,round,circuitId,name,location,country,lat,lng
332,1990,12,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
333,1990,13,27,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417
334,1990,14,26,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417
335,1990,15,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
336,1990,16,29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
337,2010,1,3,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
338,2010,2,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
339,2010,3,2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
340,2010,4,17,Shanghai International Circuit,Shanghai,China,31.3389,121.22
341,2010,5,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
342,2010,6,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
343,2010,7,5,Istanbul Park,Istanbul,Turkey,40.9517,29.405
344,2010,8,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
345,2010,9,12,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667
346,2010,10,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
347,2010,11,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
348,2010,12,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
349,2010,13,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
350,2010,14,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
351,2010,15,15,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864
352,2010,16,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
353,2010,17,35,Korean International Circuit,Yeongam County,Korea,34.7333,126.417
354,2010,18,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
